"genes"	"logFC"	"p_value"	"q_value"
"7003"	"GABRR3"	0	1	1
"7004"	"GACAT1"	-797.519	1	1
"7005"	"GACAT2"	0	1	1
"7006"	"GACAT3"	0	1	1
"7007"	"GAD1"	6.06032	0.22205	0.97561
"7008"	"GAD2"	0	1	1
"7009"	"GADD45A"	-0.314692	0.8227	0.99948
"7010"	"GADD45B"	0.227403	0.64125	0.99948
"7011"	"GADD45G"	-0.768653	0.49735	0.99948
"7012"	"GADD45GIP1"	-1.14972	0.23375	0.986676
"7013"	"GADL1"	0	1	1
"7014"	"GAGE1"	768.314	1	1
"7015"	"GAGE10"	0	1	1
"7016"	"GAGE12B"	0	1	1
"7017"	"GAGE12C"	0	1	1
"7018"	"GAGE12D"	0	1	1
"7019"	"GAGE12E"	0	1	1
"7020"	"GAGE12F"	0	1	1
"7021"	"GAGE12G"	0	1	1
"7022"	"GAGE12H"	0	1	1
"7023"	"GAGE12I"	0	1	1
"7024"	"GAGE12J"	0	1	1
"7025"	"GAGE13"	0	1	1
"7026"	"GAGE2A"	0	1	1
"7027"	"GAGE2B"	0	1	1
"7028"	"GAGE2C"	0	1	1
"7029"	"GAGE2D"	0	1	1
"7030"	"GAGE2E"	0	1	1
"7031"	"GAGE4"	0	1	1
"7032"	"GAGE5"	0	1	1
"7033"	"GAGE6"	0	1	1
"7034"	"GAGE7"	0	1	1
"7035"	"GAGE8"	0	1	1
"7036"	"GAK"	0.150934	0.8164	0.99948
"7037"	"GAL"	-0.551604	1	1
"7038"	"GAL3ST1"	-4.48641	1	1
"7039"	"GAL3ST2"	-797.519	1	1
"7040"	"GAL3ST3"	768.314	1	1
"7041"	"GAL3ST4"	-0.608754	0.49805	0.99948
"7042"	"GALC"	-0.0552398	0.96795	0.99948
"7043"	"GALE"	0.415912	0.75655	0.99948
"7044"	"GALK1"	-3.63504	3e-04	0.0171106
"7045"	"GALK2"	1.0668	0.34835	0.99948
"7046"	"GALM"	-0.0531846	0.97095	0.99948
"7047"	"GALNS"	0.803085	0.4205	0.99948
"7048"	"GALNT1"	-0.0530733	0.92895	0.99948
"7049"	"GALNT10"	0.126567	0.93805	0.99948
"7050"	"GALNT11"	-0.394054	0.8109	0.99948
"7051"	"GALNT12"	0.266392	0.76145	0.99948
"7052"	"GALNT13"	0	1	1
"7053"	"GALNT14"	-2.48819	1	1
"7054"	"GALNT15"	-0.106998	1	1
"7055"	"GALNT16"	0	1	1
"7056"	"GALNT18"	768.314	1	1
"7057"	"GALNT2"	0.067508	0.9353	0.99948
"7058"	"GALNT3"	0.749855	0.57195	0.99948
"7059"	"GALNT4"	0.826314	0.7694	0.99948
"7060"	"GALNT5"	-0.972678	0.5774	0.99948
"7061"	"GALNT6"	1.14891	0.43555	0.99948
"7062"	"GALNT7"	0.589409	0.7685	0.99948
"7063"	"GALNT8"	768.314	1	1
"7064"	"GALNT9"	-797.519	1	1
"7065"	"GALNTL5"	0	1	1
"7066"	"GALNTL6"	0	1	1
"7067"	"GALP"	0	1	1
"7068"	"GALR1"	0.860243	1	1
"7069"	"GALR2"	768.314	1	1
"7070"	"GALR3"	0	1	1
"7071"	"GALT"	0.0824261	0.93445	0.99948
"7072"	"GAMT"	3.99034	0.0298	0.406127
"7073"	"GAN"	1.18397	0.356	0.99948
"7074"	"GANAB"	-0.151192	0.81225	0.99948
"7075"	"GANC"	-1.03295	0.29765	0.99948
"7076"	"GAP43"	2.14582	1	1
"7077"	"GAPDH"	-0.0771895	0.86205	0.99948
"7078"	"GAPDHS"	0	1	1
"7079"	"GAPLINC"	0.426539	1	1
"7080"	"GAPT"	-0.961178	0.4452	0.99948
"7081"	"GAPVD1"	0.228419	0.7843	0.99948
"7082"	"GAR1"	-1.33946	0.2091	0.963114
"7083"	"GAREM"	-2.07993	0.0762	0.678077
"7084"	"GAREML"	0.346635	1	1
"7085"	"GARNL3"	5.92911	1	1
"7086"	"GARS"	-0.212667	0.83975	0.99948
"7087"	"GART"	-1.2135	0.2556	0.996932
"7088"	"GAS1"	0.607368	1	1
"7089"	"GAS2"	4.72324	1	1
"7090"	"GAS2L1"	-1.77218	0.18215	0.935747
"7091"	"GAS2L1P2"	0	1	1
"7092"	"GAS2L2"	0	1	1
"7093"	"GAS2L3"	-1.56898	0.1726	0.924041
"7094"	"GAS5"	0.453123	0.70355	0.99948
"7095"	"GAS5-AS1"	-3.45017	0.25035	0.994777
"7096"	"GAS6"	1.24519	0.2937	0.99948
"7097"	"GAS6-AS1"	-0.938298	1	1
"7098"	"GAS6-AS2"	0.224751	0.7927	0.99948
"7099"	"GAS7"	-0.0342224	0.959	0.99948
"7100"	"GAS8"	2.44009	0.1144	0.805694
"7101"	"GAS8-AS1"	-0.342506	1	1
"7102"	"GAST"	0	1	1
"7103"	"GATA1"	0	1	1
"7104"	"GATA2"	-0.252351	0.8671	0.99948
"7105"	"GATA2-AS1"	0.180684	0.90575	0.99948
"7106"	"GATA3"	0.900603	0.49905	0.99948
"7107"	"GATA3-AS1"	-1.50331	0.44315	0.99948
"7108"	"GATA4"	0	1	1
"7109"	"GATA5"	0	1	1
"7110"	"GATA6"	768.314	1	1
"7111"	"GATA6-AS1"	0	1	1
"7112"	"GATAD1"	-0.272821	0.77505	0.99948
"7113"	"GATAD2A"	-0.0652926	0.9055	0.99948
"7114"	"GATAD2B"	-0.196807	0.72475	0.99948
"7115"	"GATB"	0.513592	0.5354	0.99948
"7116"	"GATC"	-1.64889	0.2171	0.973457
"7117"	"GATM"	0.909459	0.47805	0.99948
"7118"	"GATS"	1.27777	0.24445	0.991344
"7119"	"GATSL2"	1.03567	0.5051	0.99948
"7120"	"GATSL3"	0.867763	0.264	0.99948
"7121"	"GBA"	0.0674879	0.9555	0.99948
"7122"	"GBA2"	1.88797	0.1309	0.83493
"7123"	"GBA3"	0.816914	0.6941	0.99948
"7124"	"GBAP1"	0.319475	0.78215	0.99948
"7125"	"GBAS"	0.513847	0.6512	0.99948
"7126"	"GBAT2"	2.18619	1	1
"7127"	"GBE1"	0.577949	0.7894	0.99948
"7128"	"GBF1"	-0.226996	0.763	0.99948
"7129"	"GBGT1"	1.92995	0.0998	0.771095
"7130"	"GBP1"	-0.506957	0.4141	0.99948
"7131"	"GBP1P1"	-0.951912	0.4559	0.99948
"7132"	"GBP2"	-0.0252962	0.9695	0.99948
"7133"	"GBP3"	-0.558672	0.76775	0.99948
"7134"	"GBP4"	-0.309503	0.59595	0.99948
"7135"	"GBP5"	-0.0289185	0.9649	0.99948
"7136"	"GBP6"	0.0684515	0.9409	0.99948
"7137"	"GBP7"	1.50373	1	1
"7138"	"GBX1"	0	1	1
"7139"	"GBX2"	0	1	1
"7140"	"GC"	-797.519	1	1
"7141"	"GCA"	-1.03788	0.27505	0.99948
"7142"	"GCAT"	-0.561296	0.71055	0.99948
"7143"	"GCC1"	-0.300974	0.88495	0.99948
"7144"	"GCC2"	0.714068	0.2319	0.986676
"7145"	"GCDH"	-0.645246	0.54985	0.99948
"7146"	"GCFC2"	1.00384	0.47355	0.99948
"7147"	"GCG"	0	1	1
"7148"	"GCGR"	768.314	1	1
"7149"	"GCH1"	-1.06461	0.2145	0.972524
"7150"	"GCHFR"	2.45077	0.01215	0.228594
"7151"	"GCK"	0	1	1
"7152"	"GCKR"	-797.519	1	1
"7153"	"GCLC"	0.953802	0.462	0.99948
"7154"	"GCLM"	0.414637	0.87205	0.99948
"7155"	"GCM1"	-0.685331	1	1
"7156"	"GCM2"	0	1	1
"7157"	"GCN1"	0.0805371	0.87155	0.99948
"7158"	"GCNT1"	-0.901834	0.38055	0.99948
"7159"	"GCNT2"	-0.748655	0.3733	0.99948
"7160"	"GCNT3"	0.75302	0.1647	0.91047
"7161"	"GCNT4"	-1.86319	1	1
"7162"	"GCNT7"	-0.964332	0.6496	0.99948
"7163"	"GCOM1"	1.16979	0.35185	0.99948
"7164"	"GCSAM"	1.78559	1	1
"7165"	"GCSAML"	-1.55486	1	1
"7166"	"GCSAML-AS1"	-797.519	1	1
"7167"	"GCSH"	1.26601	0.24425	0.991344
"7168"	"GCSHP3"	-3.90468	0.0013	0.04829
"7169"	"GDA"	-2.43288	1	1
"7170"	"GDAP1"	1.35367	0.31755	0.99948
"7171"	"GDAP1L1"	0	1	1
"7172"	"GDAP2"	0.810929	0.60275	0.99948
"7173"	"GDE1"	0.801898	0.61905	0.99948
"7174"	"GDF10"	0	1	1
"7175"	"GDF11"	-2.0468	0.30005	0.99948
"7176"	"GDF15"	-0.0171269	0.9913	0.99948
"7177"	"GDF2"	0	1	1
"7178"	"GDF3"	0	1	1
"7179"	"GDF5"	0	1	1
"7180"	"GDF6"	-1.08702	0.1844	0.937663
"7181"	"GDF7"	0	1	1
"7182"	"GDF9"	-2.4694	0.30665	0.99948
"7183"	"GDI1"	0.381342	0.46765	0.99948
"7184"	"GDI2"	0.0488814	0.94075	0.99948
"7185"	"GDNF"	0.659123	1	1
"7186"	"GDNF-AS1"	0	1	1
"7187"	"GDPD1"	-2.06718	0.03945	0.485357
"7188"	"GDPD2"	3.2353	1	1
"7189"	"GDPD3"	0.977718	0.2612	0.99948
"7190"	"GDPD4"	0	1	1
"7191"	"GDPD5"	2.9044	0.00155	0.0549018
"7192"	"GDPGP1"	-2.6045	0.5154	0.99948
"7193"	"GEM"	0.874188	0.47975	0.99948
"7194"	"GEMIN2"	2.50924	0.2193	0.974331
"7195"	"GEMIN4"	-0.352616	0.6744	0.99948
"7196"	"GEMIN5"	0.417194	0.67815	0.99948
"7197"	"GEMIN6"	-3.42928	0.00035	0.0192063
"7198"	"GEMIN7"	1.09597	0.4819	0.99948
"7199"	"GEMIN8"	-0.918115	0.32845	0.99948
"7200"	"GEMIN8P4"	-5.57292	0.00015	0.0107577
"7201"	"GEN1"	-0.0399527	1	1
"7202"	"GET4"	1.10427	0.4946	0.99948
"7203"	"GFAP"	-0.0970303	1	1
"7204"	"GFER"	-0.0566232	0.9465	0.99948
"7205"	"GFI1"	4.46642	0.12995	0.83374
"7206"	"GFI1B"	-0.822584	1	1
"7207"	"GFM1"	-1.11337	0.30725	0.99948
"7208"	"GFM2"	1.32318	0.3231	0.99948
"7209"	"GFOD1"	0.308254	0.73115	0.99948
"7210"	"GFOD2"	0.744809	0.45475	0.99948
"7211"	"GFPT1"	-0.0521049	0.9215	0.99948
"7212"	"GFPT2"	-3.97721	1	1
"7213"	"GFRA1"	-3.18777	0.00205	0.0667379
"7214"	"GFRA2"	-0.104315	0.94665	0.99948
"7215"	"GFRA3"	0	1	1
"7216"	"GFRA4"	0	1	1
"7217"	"GFRAL"	-0.939803	1	1
"7218"	"GFY"	0	1	1
"7219"	"GGA1"	0.605038	0.73485	0.99948
"7220"	"GGA2"	0.475612	0.39055	0.99948
"7221"	"GGA3"	-0.731794	0.487	0.99948
"7222"	"GGACT"	2.044	1	1
"7223"	"GGCT"	-0.909627	0.347	0.99948
"7224"	"GGCX"	0.563209	0.6634	0.99948
"7225"	"GGH"	-0.323066	0.6988	0.99948
"7226"	"GGN"	1.86242	1	1
"7227"	"GGNBP1"	0	1	1
"7228"	"GGNBP2"	0.0754381	0.8841	0.99948
"7229"	"GGPS1"	-0.172132	0.918	0.99948
"7230"	"GGT1"	0.398719	0.7187	0.99948
"7231"	"GGT3P"	2.20015	0.0155	0.271522
"7232"	"GGT5"	-2.30043	1	1
"7233"	"GGT6"	1.04186	0.27795	0.99948
"7234"	"GGT7"	-1.65634	0.05125	0.556149
"7235"	"GGT8P"	1.95187	0.05975	0.599445
"7236"	"GGTA1P"	0.00319994	0.99745	0.99948
"7237"	"GGTLC1"	-1.80165	1	1
"7238"	"GGTLC2"	0.438579	0.7545	0.99948
"7239"	"GH1"	0	1	1
"7240"	"GH2"	768.314	1	1
"7241"	"GHDC"	-1.19799	0.2797	0.99948
"7242"	"GHET1"	-2.78754	0.0036	0.0973007
"7243"	"GHITM"	-0.177511	0.771	0.99948
"7244"	"GHR"	1.1705	1	1
"7245"	"GHRH"	0	1	1
"7246"	"GHRHR"	0	1	1
"7247"	"GHRL"	0.603847	0.79255	0.99948
"7248"	"GHRLOS"	0.799058	0.75725	0.99948
"7249"	"GHSR"	-4.28353	0.3978	0.99948
"7250"	"GID4"	2.24386	0.05145	0.557484
"7251"	"GID8"	0.00467622	0.989	0.99948
"7252"	"GIF"	-3.20957	1	1
"7253"	"GIGYF1"	0.0817023	0.9255	0.99948
"7254"	"GIGYF2"	-0.225861	0.73435	0.99948
"7255"	"GIMAP1"	-1.11996	0.4792	0.99948
"7256"	"GIMAP1-GIMAP5"	0.290674	0.91645	0.99948
"7257"	"GIMAP2"	-0.755027	0.40035	0.99948
"7258"	"GIMAP4"	0.16791	0.73365	0.99948
"7259"	"GIMAP5"	-0.559221	0.78925	0.99948
"7260"	"GIMAP6"	0.875929	0.5976	0.99948
"7261"	"GIMAP7"	-0.66138	0.5563	0.99948
"7262"	"GIMAP8"	-0.372871	0.8256	0.99948
"7263"	"GIMD1"	0	1	1
"7264"	"GIN1"	-2.95691	0.00265	0.0789929
"7265"	"GINM1"	1.58533	0.1454	0.868504
"7266"	"GINS1"	-1.35689	0.1138	0.804088
"7267"	"GINS2"	1.32076	0.0984	0.765087
"7268"	"GINS3"	0.0986855	1	1
"7269"	"GINS4"	-0.92433	1	1
"7270"	"GIP"	0	1	1
"7271"	"GIPC1"	0.119472	0.8936	0.99948
"7272"	"GIPC2"	-6.2569	0.0201	0.317892
"7273"	"GIPC3"	2.66592	1	1
"7274"	"GIPR"	1.38042	0.1199	0.815743
"7275"	"GIT1"	-0.0597312	0.9609	0.99948
"7276"	"GIT2"	0.111645	0.88675	0.99948
"7277"	"GJA1"	1.70097	0.0767	0.680437
"7278"	"GJA10"	0	1	1
"7279"	"GJA3"	-797.519	1	1
"7280"	"GJA4"	0	1	1
"7281"	"GJA5"	768.314	1	1
"7282"	"GJA8"	0	1	1
"7283"	"GJA9"	-4.64457	0.2248	0.979747
"7284"	"GJA9-MYCBP"	-1.03212	0.5183	0.99948
"7285"	"GJB1"	-1.06631	1	1
"7286"	"GJB2"	0.327584	0.7323	0.99948
"7287"	"GJB3"	1.67829	0.2816	0.99948
"7288"	"GJB4"	2.3722	0.00725	0.161338
"7289"	"GJB5"	3.15883	1	1
"7290"	"GJB6"	9.96206	0.48265	0.99948
"7291"	"GJB7"	-0.254852	1	1
"7292"	"GJC1"	-0.85389	1	1
"7293"	"GJC2"	7.6827	1	1
"7294"	"GJC3"	4.49725	1	1
"7295"	"GJD2"	0	1	1
"7296"	"GJD3"	-1.35777	0.1026	0.780417
"7297"	"GJD4"	768.314	1	1
"7298"	"GK"	0.255847	0.67005	0.99948
"7299"	"GK2"	0	1	1
"7300"	"GK3P"	-0.674779	0.58955	0.99948
"7301"	"GK5"	-0.0766435	0.9498	0.99948
"7302"	"GKAP1"	-1.05349	0.4045	0.99948
"7303"	"GKN1"	0	1	1
"7304"	"GKN2"	768.314	5e-05	0.00458449
"7305"	"GLA"	0.894107	0.4879	0.99948
"7306"	"GLB1"	-1.18371	0.38645	0.99948
"7307"	"GLB1L"	-1.23353	0.3727	0.99948
"7308"	"GLB1L2"	0.025205	1	1
"7309"	"GLB1L3"	-0.67771	1	1
"7310"	"GLCCI1"	2.81705	0.0368	0.466015
"7311"	"GLCE"	0.240971	0.82675	0.99948
"7312"	"GLDC"	-3.11775	0.00055	0.0265595
"7313"	"GLDN"	0.216177	1	1
"7314"	"GLE1"	-1.77864	0.14865	0.873628
"7315"	"GLG1"	-0.130602	0.8507	0.99948
"7316"	"GLI1"	0.783901	1	1
"7317"	"GLI2"	-0.168793	1	1
"7318"	"GLI3"	-2.89583	0.00165	0.0573227
"7319"	"GLI4"	-3.405	0.00045	0.0229548
"7320"	"GLIDR"	-1.68423	0.23465	0.987026
"7321"	"GLIPR1"	-0.369637	0.8094	0.99948
"7322"	"GLIPR1L1"	-797.519	1	1
"7323"	"GLIPR1L2"	0.855374	0.35355	0.99948
"7324"	"GLIPR2"	0.603299	0.67055	0.99948
"7325"	"GLIS1"	0	1	1
"7326"	"GLIS2"	-0.494619	0.58265	0.99948
"7327"	"GLIS2-AS1"	0	1	1
"7328"	"GLIS3"	-1.90069	0.1029	0.780417
"7329"	"GLIS3-AS1"	768.314	1	1
"7330"	"GLMN"	6.13578	0.0741	0.669256
"7331"	"GLMP"	-0.956803	0.3438	0.99948
"7332"	"GLO1"	-0.182	0.9258	0.99948
"7333"	"GLOD4"	-0.0481204	0.97805	0.99948
"7334"	"GLOD5"	0	1	1
"7335"	"GLP1R"	0.839369	1	1
"7336"	"GLP2R"	0	1	1
"7337"	"GLRA1"	-1.82396	1	1
"7338"	"GLRA2"	-3.17315	0.00065	0.0300848
"7339"	"GLRA3"	0	1	1
"7340"	"GLRA4"	0	1	1
"7341"	"GLRB"	0	1	1
"7342"	"GLRX"	0.875793	0.3573	0.99948
"7343"	"GLRX2"	2.43882	0.2392	0.989718
"7344"	"GLRX3"	-1.16489	0.35435	0.99948
"7345"	"GLRX5"	-0.44446	0.63625	0.99948
"7346"	"GLS"	-0.361257	0.6889	0.99948
"7347"	"GLS2"	768.314	1	1
"7348"	"GLT1D1"	-0.680188	0.6553	0.99948
"7349"	"GLT6D1"	0	1	1
"7350"	"GLT8D1"	3.15388	0.08685	0.722271
"7351"	"GLT8D2"	-1.35967	1	1
"7352"	"GLTP"	0.816661	0.1826	0.93628
"7353"	"GLTPD2"	0	1	1
"7354"	"GLTSCR1"	1.16462	0.17785	0.931046
"7355"	"GLTSCR1L"	-0.303138	0.7871	0.99948
"7356"	"GLTSCR2"	0.69401	0.1876	0.943561
"7357"	"GLUD1"	-0.757165	0.1444	0.866939
"7358"	"GLUD1P3"	-1.75757	1	1
"7359"	"GLUD1P7"	-0.762327	0.66495	0.99948
"7360"	"GLUD2"	0.513652	0.56655	0.99948
"7361"	"GLUL"	-0.0291339	0.9519	0.99948
"7362"	"GLYAT"	-2.57277	0.3656	0.99948
"7363"	"GLYATL1"	1.44087	0.26155	0.99948
"7364"	"GLYATL2"	0	1	1
"7365"	"GLYATL3"	0	1	1
"7366"	"GLYCAM1"	0	1	1
"7367"	"GLYCTK"	5.06773	0.00235	0.0721281
"7368"	"GLYCTK-AS1"	-6.12706	1	1
"7369"	"GLYR1"	-0.165747	0.7794	0.99948
"7370"	"GM140"	0	1	1
"7371"	"GM2A"	0.102227	0.8653	0.99948
"7372"	"GMCL1"	-0.130152	0.87825	0.99948
"7373"	"GMCL1P1"	3.31372	1	1
"7374"	"GMDS"	1.71263	0.23455	0.987026
"7375"	"GMDS-AS1"	-2.23221	1	1
"7376"	"GMEB1"	-0.987784	0.3882	0.99948
"7377"	"GMEB2"	0.243875	0.82715	0.99948
"7378"	"GMFB"	0.874925	0.3997	0.99948
"7379"	"GMFG"	-1.25709	0.49055	0.99948
"7380"	"GMIP"	0.116938	0.91695	0.99948
"7381"	"GML"	0	1	1
"7382"	"GMNC"	0	1	1
"7383"	"GMNN"	1.33481	0.2781	0.99948
"7384"	"GMPPA"	-1.41526	0.1805	0.93452
"7385"	"GMPPB"	-1.16503	0.33705	0.99948
"7386"	"GMPR"	-1.70501	0.0739	0.669256
"7387"	"GMPR2"	-0.887528	0.3285	0.99948
"7388"	"GMPS"	1.31282	0.26835	0.99948
"7389"	"GNA11"	0.2636	0.814	0.99948
"7390"	"GNA12"	0.0640274	0.9765	0.99948
"7391"	"GNA13"	0.398831	0.5397	0.99948
"7392"	"GNA14"	0.215423	0.8968	0.99948
"7393"	"GNA14-AS1"	0	1	1
"7394"	"GNA15"	0.532493	0.3673	0.99948
"7395"	"GNAI1"	1.71322	0.25445	0.996738
"7396"	"GNAI2"	-0.680089	0.21455	0.972524
"7397"	"GNAI3"	-0.487435	0.4166	0.99948
"7398"	"GNAL"	1.85864	0.26645	0.99948
"7399"	"GNAO1"	0.512447	0.65935	0.99948
"7400"	"GNAQ"	0.273735	0.66435	0.99948
"7401"	"GNAS"	0.0244701	0.96865	0.99948
"7402"	"GNAS-AS1"	-797.519	1	1
"7403"	"GNAT1"	768.314	1	1
"7404"	"GNAT2"	-0.589353	1	1
"7405"	"GNAT3"	0	1	1
"7406"	"GNAZ"	-0.944301	1	1
"7407"	"GNB1"	-0.0330655	0.9537	0.99948
"7408"	"GNB1L"	4.2863	0.3845	0.99948
"7409"	"GNB2"	0.416386	0.46555	0.99948
"7410"	"GNB2L1"	-0.533989	0.36125	0.99948
"7411"	"GNB3"	768.314	1	1
"7412"	"GNB4"	-0.322033	0.5749	0.99948
"7413"	"GNB5"	-0.6336	0.7236	0.99948
"7414"	"GNE"	-0.134916	0.9008	0.99948
"7415"	"GNG10"	-0.848493	0.58735	0.99948
"7416"	"GNG11"	768.314	1	1
"7417"	"GNG12"	0.327811	0.7934	0.99948
"7418"	"GNG12-AS1"	768.314	0.16015	0.899959
"7419"	"GNG13"	0	1	1
"7420"	"GNG2"	-0.156349	0.8258	0.99948
"7421"	"GNG3"	2.13195	0.64755	0.99948
"7422"	"GNG4"	-0.946371	0.3889	0.99948
"7423"	"GNG5"	-2.25681	0.11705	0.809019
"7424"	"GNG7"	-1.47899	0.10635	0.788045
"7425"	"GNG8"	0	1	1
"7426"	"GNGT1"	0	1	1
"7427"	"GNGT2"	-3.315	0.27715	0.99948
"7428"	"GNL1"	1.09975	0.45665	0.99948
"7429"	"GNL2"	-0.484225	0.7686	0.99948
"7430"	"GNL3"	1.2681	0.29645	0.99948
"7431"	"GNL3L"	-0.270537	0.8998	0.99948
"7432"	"GNLY"	1.9085	0.2121	0.968152
"7433"	"GNMT"	-1.09366	0.64565	0.99948
"7434"	"GNPAT"	1.34031	0.3143	0.99948
"7435"	"GNPDA1"	-0.717806	0.4641	0.99948
"7436"	"GNPDA2"	-0.935464	0.43815	0.99948
"7437"	"GNPNAT1"	-2.1465	0.0392	0.48434
"7438"	"GNPTAB"	-0.624185	0.25205	0.994777
"7439"	"GNPTG"	-0.256933	0.9028	0.99948
"7440"	"GNRH1"	-0.97926	0.50305	0.99948
"7441"	"GNRH2"	0	1	1
"7442"	"GNRHR"	-3.63264	1	1
"7443"	"GNRHR2"	0.0250733	0.98475	0.99948
"7444"	"GNS"	-0.00265601	0.99635	0.99948
"7445"	"GOLGA1"	-0.968353	0.5143	0.99948
"7446"	"GOLGA2"	1.2388	0.0159	0.274873
"7447"	"GOLGA2P10"	2.64488	0.25075	0.994777
"7448"	"GOLGA2P3Y"	0	1	1
"7449"	"GOLGA2P5"	-3.82328	0.0183	0.299562
"7450"	"GOLGA2P6"	1.8729	1	1
"7451"	"GOLGA2P7"	0.624299	0.65845	0.99948
"7452"	"GOLGA2P9"	-1.04056	1	1
"7453"	"GOLGA3"	-0.0120669	0.98765	0.99948
"7454"	"GOLGA4"	-0.5167	0.4536	0.99948
"7455"	"GOLGA5"	0.63853	0.69025	0.99948
"7456"	"GOLGA6A"	-0.612361	0.4374	0.99948
"7457"	"GOLGA6B"	-0.782887	0.3301	0.99948
"7458"	"GOLGA6C"	-1.38556	0.10585	0.786788
"7459"	"GOLGA6D"	3.58871	1	1
"7460"	"GOLGA6L1"	0.339387	1	1
"7461"	"GOLGA6L10"	0.33436	0.77695	0.99948
"7462"	"GOLGA6L17P"	0.350272	0.716	0.99948
"7463"	"GOLGA6L2"	-1.87026	1	1
"7464"	"GOLGA6L22"	-6.41038	1	1
"7465"	"GOLGA6L3"	0.48529	1	1
"7466"	"GOLGA6L4"	2.7108	0.00575	0.136782
"7467"	"GOLGA6L5P"	0.214748	1	1
"7468"	"GOLGA6L6"	-0.569518	1	1
"7469"	"GOLGA6L7P"	-0.103069	1	1
"7470"	"GOLGA6L9"	0.413599	0.6694	0.99948
"7471"	"GOLGA7"	0.736963	0.4052	0.99948
"7472"	"GOLGA7B"	1.70856	1	1
"7473"	"GOLGA8A"	0.401471	0.64205	0.99948
"7474"	"GOLGA8B"	0.429399	0.5911	0.99948
"7475"	"GOLGA8CP"	0.651621	1	1
"7476"	"GOLGA8DP"	0.949975	0.40995	0.99948
"7477"	"GOLGA8EP"	1.11349	0.3003	0.99948
"7478"	"GOLGA8F"	1.83076	1	1
"7479"	"GOLGA8G"	11.9387	1	1
"7480"	"GOLGA8H"	-2.04955	1	1
"7481"	"GOLGA8IP"	-3.89806	0.3244	0.99948
"7482"	"GOLGA8J"	-0.569403	0.6544	0.99948
"7483"	"GOLGA8K"	-2.32215	1	1
"7484"	"GOLGA8M"	0.954983	0.34405	0.99948
"7485"	"GOLGA8N"	-3.59953	1	1
"7486"	"GOLGA8O"	-0.332843	1	1
"7487"	"GOLGA8R"	1.98623	0.0314	0.418941
"7488"	"GOLGA8S"	0.47506	1	1
"7489"	"GOLGA8T"	1.07514	1	1
"7490"	"GOLGB1"	-0.059777	0.926	0.99948
"7491"	"GOLIM4"	-0.827859	0.5196	0.99948
"7492"	"GOLM1"	0.290608	0.90655	0.99948
"7493"	"GOLPH3"	-0.358497	0.53075	0.99948
"7494"	"GOLPH3L"	0.850051	0.67695	0.99948
"7495"	"GOLT1A"	768.314	5e-05	0.00458449
"7496"	"GOLT1B"	0.633766	0.573	0.99948
"7497"	"GON4L"	-0.562903	0.60485	0.99948
"7498"	"GOPC"	-0.892605	0.5554	0.99948
"7499"	"GORAB"	1.12707	0.31685	0.99948
"7500"	"GORASP1"	0.384156	0.769	0.99948
"7501"	"GORASP2"	0.688203	0.6821	0.99948
"7502"	"GOSR1"	-0.149944	0.7885	0.99948
"7503"	"GOSR2"	0.217726	0.8632	0.99948
"7504"	"GOT1"	-0.581737	0.528	0.99948
"7505"	"GOT1L1"	0	1	1
"7506"	"GOT2"	0.217508	0.8818	0.99948
"7507"	"GP1BA"	-2.28791	0.01585	0.274664
"7508"	"GP1BB"	0	1	1
"7509"	"GP2"	-1.6808	1	1
"7510"	"GP5"	1.8706	1	1
"7511"	"GP6"	1.17603	0.16895	0.919451
"7512"	"GP9"	0	1	1
"7513"	"GPA33"	-0.315596	1	1
"7514"	"GPAA1"	0.285358	0.76755	0.99948
"7515"	"GPALPP1"	-0.468243	0.56245	0.99948
"7516"	"GPAM"	0.609201	0.50335	0.99948
"7517"	"GPANK1"	-0.181783	0.87905	0.99948
"7518"	"GPAT2"	-2.462	0.339	0.99948
"7519"	"GPAT3"	0.675897	0.8038	0.99948
"7520"	"GPAT4"	-0.0311074	0.9528	0.99948
"7521"	"GPATCH1"	0.840559	0.3523	0.99948
"7522"	"GPATCH11"	-0.982754	0.3589	0.99948
"7523"	"GPATCH2"	-0.201877	0.83015	0.99948
"7524"	"GPATCH2L"	-0.238463	0.66965	0.99948
"7525"	"GPATCH3"	-0.464324	0.7099	0.99948
"7526"	"GPATCH4"	0.127361	0.90755	0.99948
"7527"	"GPATCH8"	0.111835	0.8631	0.99948
"7528"	"GPBAR1"	-1.25083	1	1
"7529"	"GPBP1"	0.148746	0.82715	0.99948
"7530"	"GPBP1L1"	-0.517509	0.3628	0.99948
"7531"	"GPC1"	-0.262443	0.8394	0.99948
"7532"	"GPC2"	-1.10262	1	1
"7533"	"GPC3"	6.43828	1	1
"7534"	"GPC4"	0.312213	0.74425	0.99948
"7535"	"GPC5"	768.314	1	1
"7536"	"GPC5-AS1"	0	1	1
"7537"	"GPC5-AS2"	0	1	1
"7538"	"GPC6"	768.314	1	1
"7539"	"GPC6-AS1"	0	1	1
"7540"	"GPC6-AS2"	0	1	1
"7541"	"GPCPD1"	0.202257	0.7551	0.99948
"7542"	"GPD1"	2.40283	0.1043	0.782433
"7543"	"GPD1L"	-0.113644	0.9086	0.99948
"7544"	"GPD2"	-0.658876	0.29535	0.99948
"7545"	"GPER1"	2.56728	0.36065	0.99948
"7546"	"GPHA2"	0	1	1
"7547"	"GPHB5"	0	1	1
